
2018-03-05 09:30:00 - INFO  - 600580.XSHG（卧龙电气）的排名为：193,分数为：24.0

2018-03-05 09:30:00 - INFO  - 600661.XSHG（新南洋）的排名为：194,分数为：24.0

2018-03-05 09:30:00 - INFO  - 601700.XSHG（风范股份）的排名为：195,分数为：24.0

2018-03-05 09:30:00 - INFO  - 002248.XSHE（*ST东数）的排名为：196,分数为：23.0

2018-03-05 09:30:00 - INFO  - 300027.XSHE（华谊兄弟）的排名为：197,分数为：23.0

2018-03-05 09:30:00 - INFO  - 300527.XSHE（华舟应急）的排名为：198,分数为：23.0

2018-03-05 09:30:00 - INFO  - 002520.XSHE（日发精机）的排名为：199,分数为：22.0

2018-03-05 09:30:00 - INFO  - 600257.XSHG（大湖股份）的排名为：200,分数为：22.0

2018-03-05 09:30:00 - INFO  - 603568.XSHG（伟明环保）的排名为：201,分数为：22.0

2018-03-05 09:30:00 - INFO  - 002193.XSHE（如意集团）的排名为：202,分数为：21.0

2018-03-05 09:30:00 - INFO  - 000007.XSHE（全新好）的排名为：203,分数为：20.0

2018-03-05 09:30:00 - INFO  - 600634.XSHG（富控互动）的排名为：204,分数为：20.0

2018-03-05 09:30:00 - INFO  - 000975.XSHE（银泰资源）的排名为：205,分数为：19.0

2018-03-05 09:30:00 - INFO  - 600083.XSHG（博信股份）的排名为：206,分数为：17.0
